name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Lavender Brown,0.06338385969148877,0.01793979393650033,0.11167512690355329,0.5077319587628866,0.009789434685950017,0.017712710256536278,0.017712710256536295,22,437,1,0,0,0
Rufus Scrimgeour,0.031567495405610824,0.0108678518847757,0.10659898477157359,0.5116883116883116,0.005541449139183748,0.008821409568882405,0.00882140956888241,21,197,0,0,0,0
Minerva McGonagall,0.03567232497788439,0.01663580974129336,0.18274111675126903,0.5412087912087912,0.00847699197756352,0.009968567624035958,0.009968567624035965,36,345,2,2,0,0
Cornelius Fudge,0.005247515843694511,0.01073847372230392,0.06598984771573603,0.4876237623762376,0.0063844237841190156,0.0014664276175340614,0.0014664276175340614,13,178,3,3,0,1
Prime Minister,0.008044902443282759,0.03915818341346755,0.13705583756345177,0.5116883116883116,0.010258018382426497,0.0022481515063188483,0.002248151506318852,27,257,3,3,0,1
Bellatrix Lestrange,0.01139568780749988,0.0202206965820945,0.09137055837563451,0.5077319587628866,0.004947874151123152,0.003184593382632549,0.0031845933826325466,18,173,0,5,0,0
Cormac McLaggen,0.0314104857523638,0.03775922302723757,0.19289340101522842,0.5267379679144385,0.007421782915482381,0.008777609111671265,0.008777609111671272,38,269,1,0,0,0
Nymphadora Tonks,0.030416939774412732,0.008452540908202652,0.12182741116751268,0.5090439276485789,0.0067609089557470105,0.0084999763230854,0.008499976323085407,24,271,2,2,0,0
Sybill Trelawney,0.027028256929205113,0.009702930499217626,0.08121827411167512,0.5077319587628866,0.00468913620171758,0.007552978744429656,0.007552978744429666,16,181,0,0,0,0
Godric Gryffindor,0.02845535002967774,0.036792808629616765,0.19289340101522842,0.5457063711911357,0.007901906766210732,0.007951786529749899,0.007951786529749904,38,272,4,4,0,0
Fred Weasley,0.020173613835159195,0.0029954476715389217,0.08121827411167512,0.48883374689826303,0.006604510360288655,0.005637578176296419,0.005637578176296418,16,265,1,2,0,0
George Weasley,0.019362772479253863,0.013453906428661691,0.10152284263959391,0.4949748743718593,0.006367934348647679,0.005410965730500513,0.0054109657305005145,20,251,1,2,0,0
Neville Longbottom,0.029224352001107064,0.028184916204417237,0.18274111675126903,0.5397260273972603,0.009011192428622677,0.00816670511320906,0.008166705113209062,36,343,2,2,0,0
Remus Lupin,0.022084255337729005,0.03329191456205088,0.15228426395939085,0.5184210526315789,0.00633710862903312,0.0061714065647800066,0.006171406564780008,30,243,2,2,0,0
Sirius Black,0.01964364544385633,0.009700157144490214,0.14213197969543145,0.5281501340482574,0.007620037528608427,0.005489379780092636,0.005489379780092637,28,232,3,3,0,0
Katie Bell,0.021178247510029596,0.019672924679808093,0.11675126903553298,0.5103626943005182,0.004844035462455222,0.005918249069035352,0.005918249069035355,23,183,4,4,0,0
Gregory Goyle,0.010170881653283639,0.001068531701374055,0.06091370558375634,0.48284313725490197,0.004334314357685561,0.002842250950827042,0.0028422509508270444,12,170,5,5,0,0
Vincent Crabbe,0.00964156123227577,0.003267040430674252,0.06091370558375634,0.48284313725490197,0.004388249135713991,0.0026943452200788886,0.002694345220078888,12,173,5,5,0,0
Luna Lovegood,0.021006659304794232,0.02674142990750386,0.11675126903553298,0.5184210526315789,0.004641120065161528,0.005870297963746481,0.005870297963746483,23,173,1,0,0,0
Borgin,0.019779056500954052,0.0027470317204092193,0.08629441624365482,0.49622166246851385,0.0045604971221513265,0.005527241412172932,0.005527241412172938,17,169,0,5,0,0
Dean Thomas,0.01886900202045228,0.004784882835594478,0.08121827411167512,0.48048780487804876,0.00494959218963842,0.005272922037293391,0.005272922037293396,16,183,1,0,0,0
Cole,0.010729698961529699,0.001272914011181907,0.025380710659898477,0.4758454106280193,0.002999842746975094,0.0029985185717472324,0.002998518571747232,5,94,0,1,0,0
Hepzibah Smith,0.005085040914431964,0.006304128363412728,0.04060913705583756,0.4746987951807229,0.0037462402287687874,0.0014210136066608084,0.001421013606660809,8,110,0,1,0,0
Kreacher,0.014087228047573556,0.003900192035621254,0.07106598984771573,0.5038363171355499,0.0034333376626145087,0.003936641252093123,0.003936641252093124,14,119,0,0,0,0
Eileen Prince,0.016299182822583858,0.0016758765919865034,0.07106598984771573,0.5051282051282051,0.0032453542036478314,0.004554793640193983,0.004554793640193986,14,114,1,0,0,0
Fleur Delacour,0.010814595463710977,0.012172598351164434,0.10152284263959391,0.48641975308641977,0.0053106329346177894,0.0030221655361141442,0.0030221655361141507,20,196,2,2,0,0
William Weasley,0.015459473394377112,0.0274396944449984,0.15228426395939085,0.5197889182058048,0.007553065601043809,0.0043202066352669224,0.0043202066352669285,30,270,2,2,0,0
Argus Filch,0.012188672241661576,0.018174779297223963,0.09137055837563451,0.49373433583959897,0.0034653164687522497,0.0034060923443937734,0.0034060923443937725,18,99,4,0,0,0
Blaise Zabini,0.012887969322604434,0.006203293800522113,0.09137055837563451,0.49747474747474746,0.00464386124347513,0.0036015237628891678,0.0036015237628891725,18,161,5,0,0,0
Morfin Gaunt,0.009640609808428265,0.008408002085536704,0.050761421319796954,0.47815533980582525,0.004466848179718693,0.0026940811059230517,0.0026940811059230525,10,139,0,1,0,0
Merope Riddle,0.006024543046421643,0.0,0.02030456852791878,0.46904761904761905,0.002342058118855591,0.0016836037897178231,0.0016836037897178236,4,72,0,1,0,0
