name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Ariana Dumbledore,0.0035237665781687987,0.0013942214139984817,0.050314465408805034,0.45268281545135647,0.001474414480406277,0.0010056277525908011,0.0010056277525908011,24,254,6,4,0,0
Cormac McLaggen,0.004851653932093024,0.006567673800515093,0.07966457023060797,0.4670170006188662,0.0014958965243422326,0.0013845405547111352,0.0013845405547111326,38,269,1,0,0,0
Olympe Maxime,0.00496891144318711,0.0031202980013147223,0.05870020964360587,0.463231655122462,0.0015132320229354697,0.00141796970957246,0.0014179697095724588,28,368,0,0,0,0
Crookshanks,0.0074917644560781975,0.002929339205600315,0.04821802935010482,0.4549349687620597,0.0012834028842986333,0.002137896220660683,0.0021378962206606827,23,324,1,0,0,0
Xenophilius Lovegood,0.007018197492243507,0.0017928149563882314,0.03773584905660378,0.4522350579682196,0.0014474616457469391,0.002002764434369107,0.002002764434369104,18,321,1,0,0,0
Colin Creevey,0.0038526459886279348,0.008489086231413244,0.0859538784067086,0.47526989979820167,0.0012179993166196907,0.0010994670433667859,0.0010994670433667852,41,216,2,2,0,0
Fat Lady,0.004371756847070919,0.006204121193555866,0.06289308176100629,0.4660648762547095,0.0010192093802382182,0.0012475914808553377,0.001247591480855338,30,200,1,0,0,0
Katie Bell,0.004691805026152936,0.007133468068004157,0.10062893081761007,0.4757644574462747,0.0019099539011922248,0.0013389153053234696,0.0013389153053234679,48,408,2,2,0,0
Borgin,0.004148226187929256,0.0004693611142967873,0.03563941299790357,0.4495670045288791,0.0009922912157695409,0.0011838054723849129,0.001183805472384913,17,212,4,2,0,0
Parvati Patil,0.004759976977344968,0.010591460264963175,0.08176100628930819,0.4718365775086378,0.0016691039939713843,0.001358358024608125,0.0013583580246081261,39,366,1,0,0,0
James Potter I,0.00406538970758128,0.0031636375864214574,0.06498951781970651,0.47281245460793175,0.0020371834328537855,0.0011601571515896746,0.0011601571515896753,31,504,0,1,0,0
Regulus Black,0.0019622636872578527,0.00014675475445535583,0.031446540880503145,0.4495670045288791,0.001204958704047904,0.0005599727199844863,0.0005599727199844885,15,232,0,1,0,0
Fawkes,0.003222396073260523,0.00261945547159189,0.03773584905660378,0.4549349687620597,0.0008178790423380818,0.0009196089319707964,0.0009196089319707966,18,156,0,1,0,0
Rolanda Hooch,0.003353479697246877,0.0034457444169765134,0.06708595387840671,0.46464394675393295,0.001173911205024772,0.0009570151252334227,0.0009570151252334232,32,257,2,2,0,0
Fenrir Greyback,0.0033620797184743517,0.0037579463537903614,0.07966457023060797,0.4694144184865195,0.0011934528538148264,0.0009594647762959412,0.0009594647762959428,38,234,0,1,0,0
Sorting Hat,0.0035039671997666717,0.016532470751343366,0.05660377358490566,0.4637014641033164,0.001704377263535539,0.0009999515406327473,0.0009999515406327478,27,212,2,2,0,0
Filius Flitwick,0.005267135627230935,0.011133541867637937,0.11111111111111112,0.4889942712362246,0.0020543714805546583,0.0015030729719591454,0.0015030729719591462,53,446,2,2,0,0
Kingsley Shacklebolt,0.003665908561238207,0.011075085877967477,0.10482180293501049,0.4874303236736354,0.001456253119417898,0.0010461594169968828,0.0010461594169968837,50,326,0,1,0,0
Marietta Edgecombe,0.0014470466304633573,0.0003622866133409155,0.029350104821802937,0.45000949173806104,0.0009199485854117647,0.0004129453052808236,0.0004129453052808229,14,196,0,1,0,0
