name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Viktor Krum,0.015637387760196787,0.010585172718809377,0.10062893081761007,0.47975828290227707,0.0036575208988908125,0.004462456831001745,0.004462456831001744,48,869,2,0,0,0
Nymphadora Tonks,0.012427954678803812,0.01547466679395145,0.1069182389937107,0.4863932378785851,0.003086257187816452,0.0035466389789019933,0.0035466389789019902,51,846,0,1,0,0
Bartemius Crouch Senior,0.0146749812408041,0.00808666518854517,0.10272536687631027,0.4838197286834603,0.004626241948000396,0.004187808847509678,0.004187808847509684,49,1173,2,1,0,0
Petunia Dursley,0.008157980497285467,0.013748889479235625,0.06918238993710692,0.46464394675393295,0.0035553025056598913,0.0023281349482597484,0.0023281349482597467,33,759,4,4,0,0
Oliver Wood,0.009659803711380296,0.007972601660509424,0.09014675052410902,0.47330190849468945,0.002627614310425328,0.002756684811241391,0.0027566848112413893,43,690,1,2,0,0
Salazar Slytherin,0.009933510364143305,0.009290930621881823,0.15094339622641512,0.4932142865219741,0.0035821378456346413,0.0028347799037798807,0.0028347799037798833,72,789,1,2,0,0
William Weasley,0.01301442184327038,0.02131178995582217,0.14465408805031446,0.4975077732381611,0.004618771817236142,0.003713917358788491,0.003713917358788488,69,1161,3,3,0,0
Aberforth Dumbledore,0.009009838399293594,0.0105196860267058,0.11740041928721175,0.4863932378785851,0.002545783498416502,0.002571206294459115,0.0025712062944591133,56,532,0,5,0,0
Dean Thomas,0.012204875934642555,0.016656189827685297,0.1320754716981132,0.4921524688975996,0.003091899243155143,0.0034829087019921275,0.003482908701992128,63,852,1,0,0,0
Fleur Delacour,0.011085053670267351,0.00515064599836198,0.11530398322851154,0.48433224958248944,0.003534222684361132,0.0031633639773100265,0.0031633639773100282,55,965,3,3,0,0
Rufus Scrimgeour,0.008990699927118439,0.00784828009147531,0.06918238993710692,0.4694144184865195,0.0018191189024860132,0.0025657341412158746,0.0025657341412158737,33,410,0,0,0,0
Arthur Weasley,0.009308167348436966,0.02355599780985268,0.15094339622641512,0.4980497207035621,0.0036110586009176293,0.0026563155393613475,0.0026563155393613505,72,731,3,3,0,0
Griphook,0.009990881198444119,0.001560086098262673,0.05450733752620546,0.4581258953966634,0.0018645658252280882,0.0028511340977898825,0.002851134097789879,26,457,0,0,0,0
Seamus Finnigan,0.01025490919654903,0.009613888318906742,0.09224318658280922,0.47428386266169087,0.002428650183092019,0.0029264682215851246,0.0029264682215851233,44,607,1,0,0,0
Lavender Brown,0.01341523586748024,0.011645290119729573,0.08805031446540881,0.47477636926881617,0.0027413968746329374,0.0038282648085034656,0.003828264808503467,42,690,0,0,0,0
Rita Skeeter,0.013001881261436143,0.013628741048519086,0.09433962264150944,0.47725432526708766,0.0028290010142336163,0.003710327643558993,0.0037103276435589954,45,702,0,0,0,0
Ludovic Bagman,0.00837374162524615,0.02965416666502824,0.11320754716981132,0.4848458574823648,0.0030142600146112154,0.00238967005565372,0.002389670055653719,54,573,2,1,0,0
Bellatrix Lestrange,0.008688245022202187,0.005769715553433321,0.10062893081761007,0.4792553916204088,0.0026899568321795764,0.002479404684744612,0.0024794046847446127,48,643,0,1,0,0
Buckbeak,0.010371602571213903,0.005827685732531654,0.06289308176100629,0.46464394675393295,0.0018657243783647137,0.0029597576062143226,0.0029597576062143248,30,514,0,0,0,0
Lucius Malfoy,0.008446797380602163,0.007887860002017574,0.11530398322851154,0.4848458574823648,0.002450145282806299,0.0024104934083168227,0.002410493408316822,55,606,0,1,0,0
Poppy Pomfrey,0.008465780794434299,0.006049270347771774,0.10482180293501049,0.4863932378785851,0.0018350287703603916,0.0024159054251336755,0.002415905425133669,50,461,0,2,0,0
Quirinus Quirrell,0.006684102739663791,0.005146352707677888,0.04402515723270441,0.4590458269135241,0.0013750348016805596,0.0019074962220698044,0.001907496222069803,21,335,0,1,0,0
Lily J. Potter,0.003934628967802614,0.009110248632226108,0.07547169811320756,0.4757644574462747,0.0026930295595474904,0.001122831610139839,0.0011228316101398396,36,555,0,1,0,0
Peter Pettigrew,0.007711905941539587,0.0009303855170946051,0.050314465408805034,0.4590458269135241,0.0021662792592864674,0.002200741366537477,0.002200741366537477,24,615,0,1,0,0
